Overall,Team,Player,Player ID,Nationality,Position,Pos2,Age,To,Amateur Team,Amateur League,Games Played,Goals,Assists,Points,+/-,Penalty Minutes,Wins,Loses,Ties,Save %,Goals Against Avg,Round,Draft Year
22,Washington Capitals,Ilya Samsonov,samsoil01,RU,G,,18,,Magnitogorsk 2,Russia-Jr.,0,,,,,,,,,,,1,2015
23,Vancouver Canucks,Brock Boeser,boesebr01,US,RW,,18,2019,Waterloo,USHL,140,59,57,116,-7,38,,,,,,1,2015
24,Philadelphia Flyers,Travis Konecny,konectr01,CA,C,,18,2019,Ottawa,OHL,233,59,65,124,11,135,,,,,,1,2015
25,Winnipeg Jets,Jack Roslovic,rosloja01,US,C,,18,2019,USA U-18,USHL,109,14,24,38,2,6,,,,,,1,2015
26,Montreal Canadiens,Noah Juulsen,juulsno01,CA,D,,18,2019,Everett,WHL,44,2,6,8,6,10,,,,,,1,2015
27,Anaheim Ducks,Jacob Larsson,larssja01,SE,D,,18,2019,Frolunda Jr.,Sweden-Jr.,53,0,5,5,-5,18,,,,,,1,2015
28,New York Islanders,Anthony Beauvillier,beauvan01,CA,LW,,18,2019,Shawinigan,QMJHL,218,48,40,88,4,34,,,,,,1,2015
29,Columbus Blue Jackets,Gabriel Carlsson,carlsga01,SE,D,,18,2019,Linkoping Jr.,Sweden-Jr.,17,0,3,3,-3,6,,,,,,1,2015
30,Arizona Coyotes,Nicholas Merkley,merklni01,CA,RW,,18,2018,Kelowna,WHL,1,0,0,0,0,2,,,,,,2,2015
31,San Jose Sharks,Jeremy Roy,royje02,CA,D,,18,,Sherbrooke,QMJHL,0,,,,,,,,,,,2,2015
32,Arizona Coyotes,Christian Fischer,fischch01,US,RW,,18,2019,USA U-18,USHL,157,29,25,54,-30,41,,,,,,2,2015
33,Tampa Bay Lightning,Mitchell Stephens,stephmi01,CA,C,,18,,Saginaw,OHL,0,,,,,,,,,,,2,2015
34,Toronto Maple Leafs,Travis Dermott,dermotr01,CA,D,,18,2019,Erie,OHL,101,5,25,30,11,30,,,,,,2,2015
35,Carolina Hurricanes,Sebastian Aho,ahose01,FI,RW,,18,2019,Karpat,Finland,242,83,114,197,28,76,,,,,,2,2015
36,Ottawa Senators,Gabriel Gagne,gagnega01,CA,RW,,18,,Victoriaville,QMJHL,0,,,,,,,,,,,2,2015
37,Boston Bruins,Brandon Carlo,carlobr01,US,D,,18,2019,Tri-City,WHL,230,8,24,32,41,151,,,,,,2,2015
38,Columbus Blue Jackets,Paul Bittner,bittnpa01,US,LW,,18,,Portland,WHL,0,,,,,,,,,,,2,2015
39,Colorado Avalanche,A.J. Greer,greeraj01,CA,LW,,18,2019,Boston University,H-East,37,1,5,6,-2,47,,,,,,2,2015
40,Colorado Avalanche,Nicolas Meloche,melocni01,CA,D,,18,,Baie Comeau,QMJHL,0,,,,,,,,,,,2,2015
41,New York Rangers,Ryan Gropp,groppry01,CA,LW,,18,,Seattle,WHL,0,,,,,,,,,,,2,2015
42,New Jersey Devils,MacKenzie Blackwood,blackma01,CA,G,,18,2019,Barrie,OHL,23,0,0,0,0,0,10,10,0,0.918,2.61,2,2015
43,Los Angeles Kings,Erik Cernak,cernaer01,SK,D,,18,2019,Kosice,Slovakia,58,5,11,16,25,58,,,,,,2,2015
44,Tampa Bay Lightning,Matthew Spencer,spencma01,CA,D,,18,,Peterborough,OHL,0,,,,,,,,,,,2,2015
45,Boston Bruins,Jakob Forsbacka Karlsson,forsbja01,SE,C,,18,2019,Omaha,USHL,29,3,6,9,1,2,,,,,,2,2015
46,Pittsburgh Penguins,Daniel Sprong,spronda01,NL,RW,,18,2019,Charlottetown,QMJHL,89,18,10,28,-15,10,,,,,,2,2015
47,Winnipeg Jets,Jansen Harkins,harkija01,US,C,,18,,Prince George,WHL,0,,,,,,,,,,,2,2015
48,Ottawa Senators,Filip Chlapik,chlapfi01,CZ,C,,18,2019,Charlottetown,QMJHL,25,2,3,5,-7,8,,,,,,2,2015
49,Dallas Stars,Roope Hintz,hintzro01,FI,LW,,18,2019,Ilves,Finland,58,9,13,22,-11,24,,,,,,2,2015
50,Minnesota Wild,Jordan Greenway,greenjo02,US,LW,,18,2019,USA U-18,USHL,87,12,13,25,-12,29,,,,,,2,2015
51,Buffalo Sabres,Brendan Guhle,guhlebr01,CA,D,,18,2019,Prince Albert,WHL,29,0,6,6,-7,14,,,,,,2,2015
52,Boston Bruins,Jeremy Lauzon,lauzoje01,CA,D,,18,2019,Rouyn-Noranda,QMJHL,16,1,0,1,-1,2,,,,,,2,2015
53,Calgary Flames,Rasmus Andersson,anderra01,SE,D,,18,2019,Barrie,OHL,90,2,17,19,15,27,,,,,,2,2015
54,Chicago Blackhawks,Graham Knott,knottgr01,CA,LW,,18,,Niagara,OHL,0,,,,,,,,,,,2,2015
55,Nashville Predators,Yakov Trenin,treniya01,RU,C,,18,,Gatineau,QMJHL,0,,,,,,,,,,,2,2015
56,St. Louis Blues,Vince Dunn,dunnvi02,CA,D,,18,2019,Niagara,OHL,153,17,42,59,15,65,,,,,,2,2015
57,Washington Capitals,Jonas Siegenthaler,siegejo01,CH,D,,18,2019,Zurich,Swiss,26,0,4,4,6,10,,,,,,2,2015
